Index,Acousticness
1,0.127
2,0.0383
3,0.335
4,0.0469
5,0.0203
6,0.297
7,0.235
8,0.31
9,0.276
10,0.00165
11,0.00883
12,0.0261
13,0.00544
14,0.321
15,0.00323
16,0.691
17,0.584
18,0.0215
19,0.114
20,0.304
21,0.207
22,0.506
23,0.768
24,0.44
25,0.00146
26,0.765
27,0.00776
28,0.0904
29,0.0076
30,0.175
31,0.182
32,0.0492
33,0.866
34,0.163
35,0.122
37,0.41
38,0.0164
39,0.165
40,0.401
41,0.161
42,0.198
43,0.102
44,0.0112
45,0.414
46,0.216
47,0.174
48,0.494
49,0.398
50,0.217
51,0.0913
52,0.282
53,0.341
54,0.00201
55,0.00226
56,3.84e-05
57,0.369
58,0.675
59,0.0377
60,0.326
61,0.0133
62,0.194
63,0.0311
64,0.0215
65,0.524
66,0.0123
67,0.00772
68,0.0495
69,0.138
70,0.751
71,0.0493
72,0.492
73,0.256
74,0.222
75,0.00214
76,0.00138
77,0.112
78,0.656
79,0.407
80,0.692
81,0.213
82,0.0618
83,0.00936
84,0.00173
85,0.418
86,0.168
87,0.0142
88,0.131
89,0.159
90,0.818
91,0.348
92,0.468
93,0.192
94,0.398
95,0.305
96,0.025
97,0.0888
98,0.0021
99,0.313
100,0.604
101,0.00883
102,0.807
103,0.281
104,0.0622
105,0.256
106,0.512
107,0.0143
108,0.192
109,0.256
110,0.441
111,0.934
112,0.556
113,0.828
114,0.21
115,0.0514
116,0.18
117,0.581
118,0.037
119,0.0106
120,0.163
121,0.112
122,0.0303
123,0.247
124,0.584
125,0.785
126,0.0166
127,0.431
128,2.55e-05
129,0.753
130,0.0678
131,0.402
132,0.0144
133,0.841
134,0.695
135,0.499
136,0.634
137,0.0833
138,0.108
139,0.0012
140,0.105
141,0.0807
142,0.288
143,0.122
144,0.0689
145,0.418
146,0.0821
147,0.127
148,0.371
149,0.103
150,0.427
151,0.0654
152,0.00239
153,0.467
154,0.423
155,0.0038
156,0.607
157,0.0358
158,0.65
159,0.634
160,0.129
161,0.161
162,0.349
163,0.451
165,0.328
166,0.0599
167,0.114
168,0.941
169,0.0194
170,0.00101
171,0.543
172,0.0644
173,0.695
174,0.0249
175,0.526
176,0.336
177,0.731
178,0.141
179,0.112
180,0.00776
181,0.0237
182,0.441
183,0.114
184,0.584
185,0.922
186,0.345
187,0.212
188,0.00302
189,0.0671
190,0.499
191,0.0151
192,0.237
193,0.592
194,0.336
195,0.14
196,0.223
197,0.775
198,0.343
199,0.28
200,0.0302
201,0.251
202,0.359
203,0.185
204,0.46
205,0.0332
206,0.152
207,0.135
208,0.256
209,0.269
210,0.132
211,0.21
212,0.106
213,0.399
214,0.00273
215,0.177
216,0.705
217,0.0629
218,0.148
219,0.586
220,0.116
221,0.00209
222,0.0319
223,0.00691
224,0.165
225,0.0215
226,0.333
227,0.388
228,0.3
229,0.0474
230,0.199
231,0.395
232,0.396
233,0.288
234,0.532
235,0.328
236,0.414
237,0.000509
238,0.0694
239,0.222
240,0.435
241,0.0195
242,0.733
243,0.000866
244,0.13
245,0.266
246,0.932
247,0.0113
248,0.2
249,0.556
250,0.0103
251,0.0319
252,0.176
253,0.028
254,0.241
255,0.186
256,0.122
257,0.155
258,0.601
259,0.169
260,0.333
261,0.314
262,0.329
263,0.565
264,0.121
265,0.315
266,0.0451
267,0.044
268,0.374
269,0.0312
270,0.0366
271,0.126
272,0.016
273,0.00536
274,0.234
275,0.102
276,0.362
277,0.282
278,0.0597
279,0.104
280,0.0622
281,0.469
282,0.135
283,0.104
284,0.0441
285,0.0291
286,0.181
287,0.00473
288,0.0151
289,0.0546
290,0.167
291,0.244
292,0.248
293,0.39
294,0.00958
295,0.301
296,0.00513
297,0.0498
298,0.0592
299,0.0318
300,0.146
301,0.0326
302,0.223
303,0.0985
304,0.0697
305,0.514
306,0.0206
307,0.391
308,0.173
309,0.218
310,0.234
311,0.78
312,0.00711
313,0.0837
314,0.331
315,0.021
316,0.138
317,0.235
318,0.138
319,0.0558
320,0.127
321,0.0224
322,0.0392
323,0.18
324,0.21
325,0.0299
326,0.212
327,0.00151
328,0.0525
329,0.0254
330,0.0769
331,0.123
332,0.0923
333,0.551
334,0.145
335,0.207
336,0.591
337,0.196
338,0.359
339,0.0617
340,0.000178
341,0.296
342,0.773
343,0.000818
344,0.00396
345,0.271
346,0.0853
347,0.00254
348,0.05
349,0.0825
350,0.506
351,0.0136
352,0.492
353,0.00167
354,0.81
355,0.0802
356,0.195
357,0.0141
358,0.306
359,0.0814
360,0.334
361,0.197
362,0.0526
363,0.126
364,0.0622
365,0.173
366,0.354
367,0.0513
368,0.000219
369,0.839
370,0.348
371,0.573
372,0.0613
373,0.864
374,0.237
375,0.866
376,0.00196
377,0.21
378,0.901
379,0.059
380,0.368
381,0.12
382,0.777
383,0.0706
384,0.0289
385,0.00336
386,0.293
387,0.462
388,0.397
389,0.0172
390,0.328
391,0.322
392,0.524
393,0.00306
394,0.00581
395,0.057
396,0.24
397,0.0112
398,0.0174
399,0.162
400,0.979
401,0.0751
402,0.22
403,0.151
404,0.415
405,0.31
406,0.127
407,0.604
408,0.418
409,0.0563
410,0.615
411,0.701
412,0.0676
413,0.00285
414,0.258
415,0.0723
416,0.125
417,0.932
418,0.0433
419,0.0462
420,0.017
421,0.00949
422,0.13
423,0.23
424,0.302
425,0.833
426,0.0483
427,0.698
428,0.152
429,0.0623
430,0.0122
431,0.0135
432,0.116
433,0.0033
434,0.818
435,0.106
436,0.369
437,0.0231
438,0.156
439,0.0564
440,0.225
441,0.0222
442,0.0538
443,0.0847
444,0.0337
445,0.514
446,0.849
447,0.345
448,0.273
449,0.594
450,0.158
451,0.0187
452,0.289
453,0.0332
454,0.737
455,0.223
456,0.00475
457,0.242
458,0.0396
459,0.0136
460,0.185
461,0.92
462,0.0631
463,0.018
464,0.487
466,0.0625
467,0.0314
468,0.593
469,0.295
470,0.139
471,0.0696
472,0.288
473,0.103
474,0.242
475,0.105
476,0.00196
477,0.141
478,0.0882
479,0.663
480,0.0652
481,0.00249
482,0.926
483,0.0105
484,0.877
485,0.422
486,0.105
487,0.167
488,0.702
489,0.0581
490,0.101
491,0.00251
492,0.0206
493,0.483
494,0.00558
495,0.269
496,0.286
497,0.264
498,0.661
499,0.0115
500,0.428
501,0.487
502,0.00517
503,0.514
504,0.0465
505,0.352
506,0.105
507,0.152
508,0.806
509,0.289
510,0.046
511,0.683
512,0.00471
513,0.0907
514,0.0247
515,0.0967
516,0.00543
517,0.00162
518,0.00124
519,0.0251
520,0.311
521,0.232
522,0.0165
523,0.0522
524,0.124
525,0.551
526,0.297
527,0.114
528,0.3
529,0.598
530,0.607
532,0.47
533,0.371
534,0.131
535,0.428
536,0.11
537,0.585
538,0.0209
539,0.217
540,0.186
541,0.0681
542,0.0912
543,0.496
544,0.25
545,0.105
546,0.0413
547,0.685
548,0.556
549,0.474
550,0.321
551,0.405
552,0.0686
553,0.000509
554,0.847
555,0.00215
556,0.721
557,0.00172
558,0.113
559,0.0493
560,0.17
561,0.00115
562,0.659
563,0.00201
564,0.123
565,0.261
566,0.0236
567,0.36
568,0.697
569,0.00402
570,0.819
571,0.191
572,0.173
573,0.242
574,0.0902
575,0.235
576,0.373
577,0.3
578,0.046
579,0.185
580,0.662
581,0.152
582,0.114
583,0.154
584,0.671
585,0.46
586,0.92
587,0.316
588,0.0663
589,0.0889
590,0.334
591,0.0593
592,0.00786
593,0.00559
594,0.0531
595,0.703
596,0.59
597,0.723
598,0.417
599,0.869
600,0.427
601,0.0221
602,0.615
603,0.46
604,0.449
605,0.0317
606,0.00776
607,0.0597
608,0.0213
609,0.418
610,0.183
611,0.437
612,0.191
613,0.0472
614,0.0816
615,0.5
616,0.084
617,0.129
618,0.121
619,0.00161
620,0.164
621,0.189
622,0.0489
623,0.614
624,0.643
625,0.908
626,0.766
627,0.00128
628,0.55
629,0.912
630,0.903
631,0.498
632,0.403
633,0.164
634,0.322
635,0.865
636,0.28
638,0.92
639,0.673
640,0.165
641,0.579
642,0.582
643,0.129
644,0.9
645,0.881
646,0.458
647,0.744
648,0.76
649,0.395
650,0.102
651,0.43
652,0.317
653,0.309
654,0.613
656,0.207
657,0.957
658,0.0215
659,0.169
660,0.738
661,0.0183
662,0.424
663,0.0156
664,0.248
665,0.894
666,0.785
667,0.647
668,0.735
669,0.263
670,0.902
671,0.994
672,0.83
673,0.0982
674,0.888
675,0.882
676,0.362
677,0.464
678,0.108
679,0.0318
680,0.318
681,0.919
682,0.804
683,0.727
684,0.0339
685,0.813
686,0.47
687,0.292
688,0.727
689,0.06
690,0.128
691,0.104
692,0.878
693,0.599
694,0.373
695,0.87
696,0.855
697,0.696
698,0.819
699,0.937
700,0.66
701,0.768
702,0.876
703,0.835
704,0.162
705,0.556
706,0.239
707,0.67
708,0.379
709,0.247
710,0.553
711,0.0947
712,0.972
713,0.365
714,0.537
715,0.605
716,0.0505
717,0.0133
718,0.0631
719,0.158
720,0.000407
721,0.0981
722,0.42
723,0.424
724,0.0103
725,0.0439
726,0.157
727,0.00305
728,0.151
729,0.0464
730,0.139
731,0.166
732,0.505
733,0.0601
734,0.451
735,0.2
736,0.322
737,0.0484
738,0.00782
739,0.0132
740,0.114
741,0.000335
742,0.777
743,0.0511
744,0.0946
745,0.864
746,0.125
747,0.369
748,0.322
749,0.0985
750,0.0185
752,0.0461
753,0.175
754,0.0442
755,0.224
756,0.00886
757,0.16
758,0.234
759,0.153
760,0.00748
761,0.156
762,0.153
763,0.143
764,0.447
765,0.749
766,0.0421
767,0.0469
768,0.00257
769,0.153
770,0.216
771,0.185
772,0.519
773,0.143
774,0.0739
775,0.454
776,0.12
777,0.0569
778,0.0743
779,0.08
780,0.471
781,0.464
782,0.72
783,0.0614
784,0.191
786,0.544
787,0.285
788,0.814
789,0.0518
790,0.0703
791,0.801
792,0.0814
793,0.0383
794,0.254
795,0.239
796,0.062
797,0.231
798,0.00815
799,0.0815
800,0.0967
801,0.124
802,0.229
803,0.00981
804,0.15
805,0.67
806,0.0686
807,0.186
808,0.0816
809,0.45
810,0.171
811,0.486
812,0.061
813,0.448
814,0.146
815,0.0337
816,0.00671
817,0.00465
818,0.0978
819,0.229
820,0.193
821,0.139
822,0.0172
823,0.233
824,0.582
825,0.365
826,0.612
827,0.344
828,0.893
829,0.374
830,0.33
831,0.0334
832,0.0673
833,0.117
834,0.0371
835,0.0398
836,0.192
837,0.603
838,0.021
839,0.97
840,0.114
841,0.237
842,0.868
843,0.946
844,0.405
845,0.305
846,0.00574
847,0.353
848,0.000417
849,0.387
850,0.0765
851,0.123
852,0.349
853,0.000647
854,0.00163
855,0.0129
856,0.0652
857,0.00843
858,0.041
859,0.168
860,0.624
861,0.0161
862,0.00667
863,0.105
864,0.000608
865,0.696
866,0.804
867,0.00488
868,0.128
869,0.00021
870,0.183
871,0.0399
872,0.422
873,0.242
874,0.00576
875,0.16
876,0.398
878,0.0759
879,0.291
880,0.0282
881,0.333
882,0.0631
883,0.0703
884,0.114
885,0.168
886,0.0412
887,0.149
888,0.0604
889,0.582
890,0.778
891,0.0417
892,0.176
893,0.212
894,0.629
895,0.0264
896,0.0137
897,0.019
898,0.00565
899,0.0684
900,0.0224
901,0.199
902,0.316
903,0.0647
904,0.233
905,0.253
906,0.135
907,0.204
908,0.142
909,0.127
910,0.00988
911,0.406
912,0.016
913,0.0493
914,0.00647
915,0.155
916,0.0922
917,0.817
918,0.0419
919,0.0215
920,0.0769
921,0.617
922,0.757
923,0.0334
924,0.195
925,0.275
926,0.0513
927,0.016
928,0.175
929,0.0104
930,0.0466
931,0.48
932,0.0604
933,0.147
934,0.0687
935,0.289
936,0.256
937,0.229
938,0.118
939,0.569
940,0.337
941,0.0948
942,0.218
943,0.538
944,0.144
945,0.392
946,0.0892
947,0.595
948,0.0169
949,0.467
950,0.0373
951,0.806
952,0.277
953,0.0538
954,0.496
955,0.562
956,0.033
957,0.406
958,0.000554
959,0.269
960,0.0219
961,0.838
962,0.0151
963,0.183
964,0.268
965,0.136
966,0.687
967,0.9
968,0.314
969,0.6
970,0.0115
971,0.881
972,0.0969
973,0.0186
974,0.069
975,0.21
976,0.0252
977,0.655
978,0.731
979,0.918
980,0.0618
981,0.482
982,0.118
983,0.00198
984,0.966
985,0.183
986,0.0306
987,0.013
988,0.0522
989,0.0413
990,0.0573
991,0.137
992,0.81
993,0.0819
994,0.574
995,0.109
996,0.439
997,0.009
998,0.144
999,0.291
1000,0.17
1001,0.168
1002,0.26
1003,0.0127
1004,0.225
1005,0.143
1006,0.533
1007,0.538
1008,0.00584
1009,0.0813
1010,0.0222
1011,0.082
1012,0.102
1013,0.133
1014,0.0204
1015,0.398
1016,0.0621
1017,0.0861
1018,0.0319
1019,0.0533
1020,0.226
1021,0.0846
1022,0.471
1023,0.267
1024,0.366
1025,0.269
1026,0.239
1027,0.456
1028,0.189
1029,0.11
1030,0.972
1031,0.991
1032,0.916
1033,0.0715
1034,0.184
1035,0.203
1036,0.212
1037,0.00289
1038,0.347
1039,0.733
1040,0.162
1041,0.178
1042,0.252
1043,0.497
1044,0.0287
1045,0.0511
1046,0.0509
1047,0.389
1048,0.395
1049,0.0381
1050,0.0885
1051,0.703
1052,0.218
1053,0.363
1054,0.402
1055,0.203
1056,0.145
1057,0.35
1058,0.00671
1059,0.18
1060,0.331
1061,0.127
1062,0.00337
1063,0.227
1064,0.131
1065,0.0837
1066,0.0286
1067,0.055
1068,0.0312
1069,0.00824
1070,0.0289
1071,0.0427
1072,0.535
1073,0.193
1074,0.101
1075,0.119
1076,0.289
1077,0.145
1078,0.524
1079,0.0739
1080,0.323
1081,0.0392
1082,0.556
1083,0.568
1084,0.016
1085,0.0247
1086,0.0731
1087,0.525
1088,0.397
1089,0.135
1090,0.723
1091,0.172
1092,0.172
1093,0.00173
1094,0.0838
1095,0.886
1096,0.0404
1097,0.666
1098,0.0326
1099,0.0128
1100,0.197
1101,0.194
1102,0.048
1103,0.386
1104,0.0236
1105,0.627
1106,0.8
1107,0.0808
1108,0.412
1109,0.0363
1110,0.121
1111,0.018
1112,0.74
1113,0.0902
1114,0.0627
1115,0.019
1116,0.114
1117,0.00346
1118,0.117
1119,0.143
1120,0.321
1121,0.524
1122,0.00839
1123,0.6
1124,0.122
1125,0.00264
1126,0.883
1127,0.474
1128,0.32
1129,0.00334
1130,0.0228
1131,0.364
1132,0.158
1133,0.0306
1134,0.00792
1135,0.0019
1136,0.473
1137,0.0129
1138,0.473
1139,0.0236
1140,0.372
1142,0.137
1143,0.163
1144,0.156
1145,0.17
1146,0.137
1147,0.127
1148,0.184
1149,0.0229
1150,0.281
1151,0.00518
1152,0.0217
1153,0.251
1154,0.206
1155,0.456
1156,0.447
1157,0.0485
1158,0.0122
1159,0.0132
1160,0.115
1161,0.143
1162,0.042
1163,0.00561
1164,0.0811
1165,0.0531
1166,0.425
1167,0.102
1168,0.119
1169,0.17
1170,0.415
1171,0.0144
1172,0.163
1173,0.237
1174,0.0277
1175,0.366
1176,0.00839
1177,0.0232
1178,0.0378
1179,0.0313
1180,0.0194
1181,0.894
1182,0.0589
1183,0.165
1184,0.0352
1185,0.221
1186,0.213
1187,0.381
1188,0.169
1189,0.423
1190,0.587
1191,0.419
1192,0.00947
1193,0.555
1194,0.474
1195,0.153
1196,0.917
1197,0.0128
1198,0.201
1199,0.281
1200,0.342
1201,0.00606
1202,0.252
1203,0.482
1204,0.292
1205,0.768
1206,0.28
1207,0.0827
1208,0.218
1209,0.63
1210,0.386
1211,0.187
1212,0.4
1213,0.0332
1214,0.152
1215,0.0136
1216,0.144
1217,0.206
1218,0.449
1219,0.103
1220,0.283
1221,0.000415
1222,0.00414
1223,0.0559
1224,0.00399
1225,0.536
1226,0.273
1227,0.108
1228,0.00509
1229,0.0253
1230,0.0944
1231,0.169
1232,0.115
1233,0.0546
1234,0.0411
1235,0.144
1236,0.17
1237,0.236
1238,0.667
1239,0.223
1240,0.0511
1241,0.0881
1242,0.249
1243,0.282
1244,0.832
1245,0.00795
1246,0.126
1247,0.0513
1248,0.12
1249,0.0198
1250,0.256
1251,0.298
1252,0.538
1253,0.00261
1254,0.313
1255,0.0475
1256,0.0909
1257,0.181
1258,0.0177
1259,0.0311
1260,0.379
1261,0.133
1262,0.00618
1263,0.138
1264,0.131
1265,0.033
1266,0.408
1267,0.0158
1268,0.138
1269,0.052
1270,0.174
1271,0.612
1272,0.162
1273,0.0456
1274,0.0386
1275,0.31
1276,0.194
1277,0.00388
1278,0.0516
1279,0.0323
1280,0.423
1281,0.25
1282,0.229
1283,0.0157
1284,0.0381
1285,0.135
1286,0.0888
1287,0.0564
1288,0.0346
1289,0.0853
1290,0.0794
1291,0.44
1292,0.0495
1293,0.092
1294,0.368
1295,0.554
1296,0.117
1297,0.0732
1298,0.0129
1299,0.0183
1300,0.248
1301,0.0298
1302,0.0869
1303,0.24
1304,0.835
1305,0.0832
1306,0.0744
1307,0.0207
1308,0.2
1309,0.352
1310,0.132
1311,0.18
1312,0.0301
1313,0.00277
1314,0.0549
1315,0.133
1316,0.248
1317,0.551
1318,0.000592
1319,0.21
1320,0.173
1321,0.051
1322,0.213
1323,0.137
1324,0.404
1325,0.017
1326,0.602
1327,0.516
1328,0.627
1329,0.00961
1330,0.101
1331,0.325
1332,0.162
1333,0.159
1334,0.541
1335,0.237
1336,0.435
1337,0.344
1338,0.0326
1339,0.137
1340,0.409
1341,0.144
1342,0.0611
1343,0.0991
1344,0.326
1345,0.176
1346,0.517
1347,0.0325
1348,0.311
1349,0.586
1350,0.148
1351,0.0689
1352,0.482
1353,0.223
1354,0.208
1355,0.113
1356,0.0407
1357,0.0582
1358,0.0345
1359,0.048
1360,0.0174
1361,0.0222
1362,0.768
1363,0.141
1364,0.366
1365,0.0478
1366,0.0327
1367,0.0408
1368,0.00838
1369,0.107
1370,0.151
1371,0.289
1372,0.212
1373,0.0488
1374,0.0275
1375,0.00929
1376,0.0258
1377,0.361
1378,0.56
1379,0.11
1380,0.739
1381,0.0433
1382,0.0394
1383,0.0802
1384,0.0668
1385,0.225
1386,0.017
1387,0.0104
1388,0.0121
1389,0.115
1390,0.00485
1391,0.239
1392,0.268
1393,0.00868
1394,0.283
1395,0.178
1396,0.0145
1397,0.0933
1398,0.00477
1399,0.0842
1400,0.182
1401,0.953
1402,0.185
1403,0.0303
1404,0.263
1405,0.52
1406,0.809
1407,0.0492
1408,0.0276
1409,0.438
1410,0.0736
1411,0.0245
1412,0.738
1413,0.608
1414,0.111
1415,0.49
1416,0.0406
1417,0.00337
1418,0.0185
1419,0.203
1420,0.692
1421,0.253
1422,0.166
1423,0.057
1424,0.853
1425,0.39
1426,0.00244
1427,0.0295
1428,0.683
1429,0.519
1430,0.64
1431,0.3
1432,0.0409
1433,0.177
1434,0.0502
1435,0.0567
1436,0.298
1437,0.125
1438,0.0492
1439,0.462
1440,0.0451
1441,0.23
1442,0.259
1443,0.278
1444,0.193
1445,0.0608
1446,0.39
1447,0.108
1448,0.133
1449,0.0516
1450,0.188
1451,0.393
1452,0.11
1453,0.149
1454,0.0711
1455,0.113
1456,0.443
1457,0.028
1458,0.188
1459,0.195
1460,0.462
1461,0.231
1462,0.318
1463,0.0149
1464,0.284
1465,0.0169
1466,0.259
1467,0.033
1468,0.342
1469,0.737
1470,0.0247
1471,0.0388
1472,0.00998
1473,0.0614
1474,0.389
1475,0.627
1476,0.0169
1477,0.0973
1478,0.175
1479,0.307
1480,0.0851
1481,0.114
1482,0.0253
1483,0.115
1484,0.217
1485,0.0771
1486,0.0387
1487,0.0258
1488,0.391
1489,0.474
1490,0.0048
1491,0.136
1492,0.0949
1493,0.0134
1494,0.018
1495,0.14
1496,0.1
1497,0.135
1498,0.00487
1499,0.0333
1500,0.878
1501,0.0234
1502,0.0454
1503,0.0396
1504,0.754
1505,0.591
1506,0.947
1507,0.0448
1508,0.0459
1509,0.0286
1510,0.525
1511,0.132
1512,0.0447
1513,0.565
1514,0.764
1515,0.0881
1516,0.00103
1517,0.0119
1518,0.849
1519,0.249
1520,0.109
1521,0.484
1522,0.0906
1523,0.095
1524,0.077
1525,0.188
1526,0.296
1527,0.0579
1528,0.323
1529,0.3
1530,0.484
1531,0.0372
1532,0.157
1533,0.426
1534,0.071
1535,0.253
1536,0.0695
1537,0.283
1538,0.199
1540,0.0256
1541,0.194
1542,0.037
1543,0.227
1544,0.56
1545,0.135
1546,0.513
1547,0.9
1548,0.383
1549,0.0533
1550,0.172
1551,0.212
1552,0.00261
1553,0.24
1554,0.184
1555,0.249
1556,0.433
